arquivo,angulo_detectado,tempo_ms,largura_px,altura_px
car_01.jpg,29.000000000000004,57121.29831314087,830,342
car_02.jpg,2.0,796.4074611663818,677,132
car_03.png,-16.999999999999986,5850.1482009887695,669,508
car_04.png,4.0,564.2485618591309,55,361
car_05.png,nan,116.78576469421387,212,348
car_06.png,-20.0,2957.5047492980957,610,344
car_07.jpeg,nan,53.079843521118164,179,117
car_08.jpeg,-2.0,300.708532333374,607,248
car_09.jpg,8.0,2187.8015995025635,934,701
mt_01.png,5.000000000000007,12715.986490249634,282,394
